    0.1160 0.1170 0.1180 0.1190 0.1200 
130 722.806 740.324 757.413 769.955 787.268 
131 695.416 712.397 728.851 741.019 757.865 
132 669.388 685.794 701.668 713.320 729.541 
133 644.501 660.406 675.545 686.791 702.373 
134 620.577 635.777 650.682 661.441 676.471 
135 597.775 612.587 626.590 637.163 651.571 
136 575.972 590.255 603.803 613.953 627.838 
137 554.913 568.800 581.975 591.563 605.142 
138 534.927 548.245 560.965 570.215 583.350 
139 515.663 528.638 541.017 549.948 562.430 
140 497.208 509.715 521.747 530.245 542.494 
141 479.674 491.585 503.154 511.228 523.269 
142 462.586 474.324 485.385 493.432 504.841 
143 446.309 457.705 468.429 476.080 487.136 
144 430.760 441.819 452.026 459.583 470.035 
145 415.904 426.380 436.335 443.595 453.819 
146 401.421 411.681 421.326 428.375 438.180 
147 387.769 397.556 406.902 413.534 423.114 
148 374.415 383.959 393.130 399.520 408.776 
149 361.662 370.982 379.723 386.091 394.884 
150 349.465 358.429 366.934 372.929 381.615 
151 337.706 346.370 354.690 360.433 368.797 
152 326.365 334.959 342.799 348.461 356.491 
153 315.448 323.736 331.383 336.830 344.694 
154 305.059 313.002 320.488 325.707 333.196 
155 295.044 302.762 309.919 315.073 322.264 
156 285.294 292.725 299.817 304.770 311.777 
157 276.018 283.298 290.016 294.864 301.716 
158 267.103 274.101 280.643 285.298 291.900 
159 258.456 265.243 271.633 276.153 282.584 
160 250.178 256.860 263.034 267.257 273.489 
161 242.073 248.630 254.473 258.687 264.751 
162 234.472 240.734 246.512 250.509 256.365 
163 227.038 233.127 238.711 242.667 248.324 
164 219.898 225.793 231.215 235.041 240.472 
165 212.992 218.801 224.039 227.686 232.962 
166 206.401 211.928 217.055 220.588 225.712 
167 199.972 205.338 210.294 213.721 218.754 
168 193.798 199.060 203.870 207.179 212.057 
169 187.876 192.949 197.551 200.856 205.552 
170 182.091 187.018 191.558 194.745 199.275 
171 176.527 181.324 185.720 188.785 193.253 
172 171.152 175.871 180.143 183.109 187.380 
173 166.079 170.568 174.715 177.591 181.702 
174 161.026 165.453 169.476 172.270 176.294 
175 156.207 160.506 164.413 167.175 171.031 
176 151.578 155.704 159.497 162.130 165.989 
177 147.059 151.143 154.813 157.355 161.068 
178 142.718 146.661 150.258 152.752 156.325 
179 138.556 142.403 145.857 148.282 151.778 
180 134.488 138.228 141.591 143.918 147.343 
181 130.549 134.186 137.461 139.781 143.056 
182 126.811 130.306 133.516 135.705 138.903 
183 123.101 126.579 129.651 131.818 134.911 
184 119.607 122.942 125.938 128.027 131.091 
185 116.151 119.427 122.359 124.372 127.349 
186 112.826 116.060 118.860 120.851 123.707 
187 109.622 112.735 115.482 117.415 120.201 
188 106.528 109.561 112.264 114.102 116.799 
189 103.554 106.491 109.099 110.889 113.533 
190 100.659 103.523 106.065 107.799 110.379 
191 97.826 100.641 103.100 104.823 107.305 
192 95.126 97.871 100.237 101.918 104.327 
193 92.484 95.132 97.494 99.110 101.452 
194 89.921 92.518 94.816 96.373 98.698 
195 87.486 90.003 92.202 93.752 95.973 
196 85.078 87.534 89.712 91.194 93.370 
197 82.769 85.144 87.262 88.731 90.848 
198 80.502 82.855 84.900 86.317 88.394 
199 78.341 80.636 82.629 83.988 86.001 
200 76.235 78.465 80.415 81.761 83.696 
201 74.181 76.360 78.282 79.550 81.449 
202 72.214 74.305 76.179 77.442 79.306 
203 70.306 72.345 74.150 75.391 77.186 
204 68.432 70.437 72.177 73.398 75.155 
205 66.620 68.586 70.305 71.471 73.177 
206 64.886 66.776 68.466 69.591 71.266 
207 63.165 65.037 66.654 67.781 69.410 
208 61.527 63.343 64.939 66.015 67.606 
209 59.918 61.704 63.245 64.301 65.846 
210 58.369 60.093 61.625 62.644 64.149 
211 56.861 58.570 60.039 61.038 62.492 
212 55.401 57.060 58.504 59.475 60.901 
213 53.983 55.588 56.995 57.950 59.363 
214 52.609 54.185 55.544 56.483 57.843 
215 51.268 52.805 54.145 55.051 56.379 
216 49.973 51.480 52.766 53.654 54.945 
217 48.710 50.177 51.443 52.295 53.575 
218 47.483 48.914 50.148 51.000 52.229 
219 46.286 47.693 48.897 49.722 50.922 
220 45.144 46.518 47.690 48.487 49.655 
